timestamp,cash,portfolio_value,positions,equity
2025-11-02 19:00:00.000,50000.0,50000.0,0,50000.0
2025-11-02 20:00:00.000,50000.0,50000.0,0,50000.0
2025-11-02 21:00:00.000,50000.0,50000.0,0,50000.0
2025-11-02 22:00:00.000,50000.0,50000.0,0,50000.0
2025-11-02 23:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 00:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 01:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 02:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 03:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 04:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 05:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 06:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 07:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 08:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 09:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 10:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 11:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 12:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 13:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 14:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 15:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 16:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 17:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 18:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 19:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 20:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 21:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 22:00:00.000,50000.0,50000.0,0,50000.0
2025-11-03 23:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 00:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 01:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 02:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 03:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 04:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 05:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 06:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 07:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 08:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 09:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 10:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 11:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 12:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 13:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 14:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 15:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 16:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 17:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 18:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 19:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 20:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 21:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 22:00:00.000,50000.0,50000.0,0,50000.0
2025-11-04 23:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 00:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 01:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 02:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 03:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 04:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 05:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 06:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 07:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 08:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 09:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 10:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 11:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 12:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 13:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 14:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 15:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 16:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 17:00:00.000,50000.0,50000.0,0,50000.0
2025-11-05 18:00:00.000,38482.75,50000.0,1,50000.0
2025-11-05 19:00:00.000,33459.80409294829,50154.227728923724,1,50154.227728923724
2025-11-05 20:00:00.000,33459.80409294829,49785.24413936622,1,49785.24413936622
2025-11-05 21:00:00.000,33459.80409294829,50448.44549666198,1,50448.44549666198
2025-11-05 22:00:00.000,40078.83844464183,52073.771293166195,1,52073.771293166195
2025-11-05 23:00:00.000,34859.38224987792,52116.387366589166,1,52116.387366589166
2025-11-06 00:00:00.000,34859.38224987792,51816.30888625313,1,51816.30888625313
2025-11-06 01:00:00.000,34859.38224987792,51807.627865790826,1,51807.627865790826
2025-11-06 02:00:00.000,34859.38224987792,51382.257863137726,1,51382.257863137726
2025-11-06 03:00:00.000,34859.38224987792,51995.716642474166,1,51995.716642474166
2025-11-06 04:00:00.000,34859.38224987792,52267.721950293155,1,52267.721950293155
2025-11-06 05:00:00.000,34859.38224987792,51538.516231459274,1,51538.516231459274
2025-11-06 06:00:00.000,34859.38224987792,52036.228071298276,1,52036.228071298276
